Index,Well,MD,ANGLE,AZIMUTH,Depth,ADIPnew,AAZInew,DIP_TYPE
76,H,177.8284,66.5448,136.2789,177.8284,65.4495,136.0306,Fracture
77,H,178.4809,77.692,315.9114,178.5209,83.8012,316.0303,Fracture
78,H,180.3337,82.9305,341.287,179.8337,84.1661,341.3,Fracture
79,H,201.0908,64.2612,326.9013,201.0908,65.2848,327.023,Fracture
80,H,201.4353,32.1172,50.6632,201.4353,32.4637,49.0638,Fracture
81,H,201.6398,63.4703,311.4899,201.4998,64.3986,311.7354,Fracture
82,H,203.1565,82.0642,3.1725,203.1565,83.063,3.1092,Fracture
83,H,206.961,54.6289,342.1658,206.871,55.6168,342.1671,Fracture
84,H,208.5854,63.8282,318.5951,208.4454,64.7068,318.7786,Fracture
85,H,219.6328,62.0423,322.7945,219.5028,62.8902,322.9427,Fracture
86,H,233.9601,42.9125,286.0318,233.9001,43.3815,286.752,Fracture
87,H,237.2064,53.3105,306.0342,237.2064,54.0993,306.4126,Fracture
88,H,238.0847,89.0226,2.5029,238.0847,90,182.5,Fracture
89,H,244.4002,56.3726,213.8973,244.42,55.7927,214.3508,Fracture
90,H,259.0229,49.0572,156.7188,259.0229,48.2028,156.6421,Fracture
91,H,262.1728,75.0009,294.0938,262.4328,75.8111,294.2494,Fracture
92,H,262.1744,53.8877,149.1118,262.1144,52.8734,149.0808,Fracture
93,H,262.5199,89.2016,293.4956,262.5199,90,293.5,Fracture
94,H,263.0899,61.781,336.6785,263.1599,62.802,336.6405,Fracture
95,H,303.5968,46.1285,107.433,303.6268,27.4926,106.9157,Fracture
96,H,324.055,61.299,149.7624,324.055,60.4917,149.7715,Fracture
97,H,353.3946,75.2774,1.4855,353.2846,76.0798,1.3707,Fracture
98,H,354.0073,65.0041,187.2984,353.9373,64.3149,187.5516,Fracture
99,H,354.7921,73.3634,3.0359,355.0021,74.096,2.8894,Fracture
100,H,356.0193,73.3113,193.5364,356.0193,72.6355,193.7403,Fracture
101,H,356.3704,67.7215,190.1291,356.5004,66.9926,190.3717,Fracture
102,H,356.8927,73.6739,353.2332,356.8927,70.5384,353.1298,Fracture
103,H,358.6037,59.996,271.3987,358.6637,45.421,271.8321,Fracture
104,H,402.3413,35.7252,31.586,402.3413,21.3174,30.2287,Fracture
105,H,402.7471,72.1305,25.5473,402.3971,72.7961,25.2514,Fracture
106,H,406.2697,56.9235,79.0734,406.2897,6.5626,228.3208,Fracture
107,H,406.4147,62.181,65.8466,406.2647,47.1132,65.2034,Fracture
108,H,410.4719,54.8612,333.5105,410.4419,46.0934,333.5082,Fracture
109,H,411.3586,69.0371,323.5895,411.3886,70.2751,323.6604,Fracture
110,H,411.4756,54.886,126.8316,411.4556,38.7575,126.4116,Fracture
111,H,411.4869,50.1351,128.364,411.5369,29.0065,127.8974,Fracture
112,H,411.5398,38.2001,121.7808,411.5198,37.1581,120.9156,Fracture
113,H,411.5839,70.5446,313.1348,411.5839,71.694,313.2824,Fracture
114,H,411.7225,73.7028,263.4208,411.7225,74.1216,263.7563,Fracture
